"2016-04-02 12:19:29.280405","admin","LOGIN"," Admin admin logged in."
"2016-04-02 12:19:34.871362","admin","VIEW","Admin admin viewed the system logs."
"2016-04-02 12:19:40.439482","admin","VIEW","Admin admin viewed the system logs."
"2016-04-02 13:12:34.285787","admin","LOGIN"," Admin admin logged in."
"2016-04-02 13:15:02.756135","test","LOGIN"," Patient test logged in."
"2016-04-02 13:15:50.552469","joy","LOGIN"," Nurse joy logged in."
"2016-04-02 13:16:16.786625","bible","LOGIN"," Doctor bible logged in."
"2016-04-02 13:20:20.925192","joy","LOGIN"," Nurse joy logged in."
"2016-04-02 13:32:56.169649","joy","LOGIN"," Nurse joy logged in."
"2016-04-02 13:33:43.962100","joy","LOGIN"," Nurse joy logged in."
"2016-04-02 14:04:38.525215","admin","LOGIN"," Admin admin logged in."
"2016-04-02 14:05:18.080752","admin","LOGIN"," Admin admin logged in."
"2016-04-02 14:27:26.915486","admin","LOGIN"," Admin admin logged in."
"2016-04-02 14:27:39.869227","joy","LOGIN"," Nurse joy logged in."
"2016-04-02 14:27:54.180046","test","LOGIN"," Patient test logged in."
"2016-04-02 14:28:36.197449","admin","LOGIN"," Admin admin logged in."
"2016-04-02 14:39:14.686792","joy","LOGIN"," Nurse joy logged in."
"2016-04-02 14:40:06.556291","test","LOGIN"," Patient test logged in."
"2016-04-02 14:40:15.936046","bible","LOGIN"," Doctor bible logged in."
"2016-04-02 14:42:23.362940","test","LOGIN"," Patient test logged in."
"2016-04-02 14:50:52.548994","admin","LOGIN"," Admin admin logged in."
"2016-04-02 14:51:07.887847","bible","LOGIN"," Doctor bible logged in."
"2016-04-02 14:51:25.544174","joy","LOGIN"," Nurse joy logged in."
"2016-04-02 14:52:06.408984","test","LOGIN"," Patient test logged in."
"2016-04-02 14:52:49.426266","joy","LOGIN"," Nurse joy logged in."
"2016-04-02 15:25:05.610082","admin","LOGIN"," Admin admin logged in."
"2016-04-02 15:27:45.715021","bible","LOGIN"," Doctor bible logged in."
"2016-04-02 15:28:42.546552","joy","LOGIN"," Nurse joy logged in."
"2016-04-02 15:28:53.297144","test","LOGIN"," Patient test logged in."
"2016-04-02 15:29:50.761650","bible","LOGIN"," Doctor bible logged in."
"2016-04-02 15:30:01.857033","bible","DOCTOR INFO UPDATE"," Doctor bible updated their info."
"2016-04-02 15:32:34.210893","admin","LOGIN"," Admin admin logged in."
"2016-04-02 15:33:02.125702","bible","LOGIN"," Doctor bible logged in."
"2016-04-02 15:42:11.703421","bible","LOGIN"," Doctor bible logged in."
"2016-04-02 18:08:25.075145","admin","LOGIN"," Admin admin logged in."
"2016-04-02 18:10:03.366330","admin","LOGIN"," Admin admin logged in."
"2016-04-02 18:10:24.256565","bible","LOGIN"," Doctor bible logged in."
"2016-04-02 18:23:18.106744","bible","LOGIN"," Doctor bible logged in."
